Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
27/2/18-0:0:9,847,318,495,41.60,25.80,3.60,5.70
27/2/18-0:1:10,848,296,458,41.80,25.80,3.00,4.00
27/2/18-0:2:11,847,327,488,42.00,25.80,3.40,4.50
27/2/18-0:3:12,847,353,464,42.30,25.80,3.40,7.90
27/2/18-0:4:13,847,326,471,42.10,25.80,3.50,6.90
27/2/18-0:5:14,848,370,508,42.50,25.80,3.10,4.90
27/2/18-0:6:15,847,319,454,42.80,25.80,3.70,6.50
27/2/18-0:7:16,847,280,450,42.50,25.80,3.30,4.40
27/2/18-0:8:17,847,311,463,42.70,25.80,3.20,7.00
27/2/18-0:9:18,847,291,454,42.70,25.80,3.80,6.60
27/2/18-0:10:19,847,331,480,43.10,25.80,4.00,8.20
27/2/18-0:11:20,847,335,472,43.00,25.70,3.80,7.60
27/2/18-0:12:21,848,338,481,43.10,25.70,3.90,6.40
27/2/18-0:13:22,847,370,523,42.80,25.80,3.40,6.00
27/2/18-0:14:23,847,401,506,43.90,25.70,3.50,5.70
27/2/18-0:15:24,852,352,456,44.20,25.70,3.30,5.40
27/2/18-0:16:25,848,283,453,43.60,25.70,3.50,4.80
27/2/18-0:17:26,847,303,502,42.90,25.60,3.90,7.50
27/2/18-0:18:27,853,352,489,43.60,25.60,3.30,7.00
27/2/18-0:19:28,854,364,484,44.30,25.60,3.90,9.00
27/2/18-0:20:29,849,349,483,44.10,25.70,3.50,6.00
27/2/18-0:21:30,848,339,466,43.70,25.60,3.40,5.00
27/2/18-0:22:31,853,323,481,44.20,25.60,3.30,4.70
27/2/18-0:23:32,849,343,495,43.90,25.60,3.50,6.90
27/2/18-0:24:33,853,362,480,44.30,25.50,3.40,8.10
27/2/18-0:25:34,848,319,458,44.20,25.50,3.30,4.70
27/2/18-0:26:35,853,313,474,43.40,25.50,3.60,6.60
27/2/18-0:27:36,853,320,468,44.10,25.50,2.90,4.50
27/2/18-0:28:37,849,309,490,45.00,25.50,3.00,4.40
27/2/18-0:29:38,853,321,474,45.10,25.40,3.10,7.20
27/2/18-0:30:38,847,318,466,44.80,25.40,3.40,5.50
27/2/18-0:31:39,847,321,467,44.40,25.40,3.20,6.70
27/2/18-0:32:40,846,338,484,45.40,25.40,3.10,5.50
27/2/18-0:33:41,846,329,466,45.20,25.40,3.40,7.40
27/2/18-0:34:42,846,343,475,46.00,25.40,3.10,6.40
27/2/18-0:35:43,847,334,462,45.30,25.40,3.00,4.20
27/2/18-0:36:44,847,320,462,46.10,25.30,3.20,5.20
27/2/18-0:37:45,846,321,470,46.30,25.30,3.40,5.70
27/2/18-0:38:46,847,334,469,44.70,25.30,3.60,7.80
27/2/18-0:39:47,846,348,497,47.70,25.20,3.50,6.00
27/2/18-0:40:48,847,362,481,47.00,25.20,3.10,5.50
27/2/18-0:41:49,847,350,463,48.70,25.20,3.40,5.00
27/2/18-0:42:50,846,344,464,47.20,25.20,3.50,7.40
27/2/18-0:43:51,846,346,466,47.10,25.10,3.20,6.10
27/2/18-0:44:52,846,345,465,49.00,25.10,3.00,5.50
27/2/18-0:45:53,853,341,467,47.80,25.10,3.60,7.70
27/2/18-0:46:54,847,347,461,48.20,25.00,3.80,6.00
27/2/18-0:47:55,846,346,465,48.50,25.00,3.30,5.10
27/2/18-0:48:56,847,339,461,47.50,24.90,3.50,8.80
27/2/18-0:49:57,847,335,459,48.70,24.90,3.20,5.20
27/2/18-0:50:58,853,334,448,48.30,24.90,3.10,5.10
27/2/18-0:51:59,847,339,461,47.80,24.90,3.30,8.00
27/2/18-0:53:0,847,348,462,50.00,24.90,3.50,6.50
27/2/18-0:54:1,852,355,447,50.90,24.80,3.40,6.60
27/2/18-0:55:2,854,346,453,49.40,24.80,3.60,5.80
27/2/18-0:56:3,853,351,457,50.30,24.80,3.40,9.80
27/2/18-0:57:4,847,357,457,49.80,24.80,3.20,5.40
27/2/18-0:58:5,846,367,460,49.60,24.70,3.70,9.80
27/2/18-0:59:6,847,362,457,49.60,24.80,3.20,6.70
27/2/18-1:0:7,846,362,458,49.10,24.70,3.00,6.40
27/2/18-1:1:8,846,362,457,49.90,24.70,3.40,7.30
27/2/18-1:2:9,846,358,456,49.40,24.70,3.20,6.00
27/2/18-1:3:10,847,356,455,49.50,24.60,2.90,4.80
27/2/18-1:4:11,846,366,457,49.90,24.60,3.30,9.40
27/2/18-1:5:12,846,363,456,51.10,24.60,2.90,5.80
27/2/18-1:6:13,846,357,453,51.10,24.60,3.20,5.50
27/2/18-1:7:14,846,361,456,51.20,24.50,3.30,8.90
27/2/18-1:8:15,846,351,453,50.80,24.50,3.30,8.00
