Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
24/2/18-0:0:50,854,333,430,84.80,19.10,0.80,1.40
24/2/18-0:1:51,853,331,441,84.80,19.10,1.10,1.20
24/2/18-0:2:52,853,352,458,82.90,19.10,1.10,1.30
24/2/18-0:3:53,853,338,427,86.40,19.10,1.00,1.80
24/2/18-0:4:54,853,341,435,86.80,19.10,1.20,4.40
24/2/18-0:5:55,852,343,432,85.40,19.10,1.10,1.20
24/2/18-0:6:56,852,336,433,86.00,19.10,1.10,1.50
24/2/18-0:7:57,852,330,427,85.10,19.10,1.00,1.60
24/2/18-0:8:58,853,330,441,82.30,19.10,1.00,1.80
24/2/18-0:9:59,853,352,454,79.70,19.10,0.90,1.00
24/2/18-0:11:0,853,361,448,80.20,19.10,0.80,0.80
24/2/18-0:12:1,851,371,447,81.70,19.20,0.80,0.90
24/2/18-0:13:2,853,366,445,84.00,19.20,0.70,1.20
24/2/18-0:14:3,852,365,433,80.40,19.20,0.80,0.80
24/2/18-0:15:4,853,360,443,80.30,19.20,0.80,1.00
24/2/18-0:16:5,852,367,443,83.70,19.20,0.70,0.70
24/2/18-0:17:6,853,359,436,80.00,19.20,1.00,1.10
24/2/18-0:18:7,853,334,430,81.00,19.20,0.90,2.40
24/2/18-0:19:8,851,337,438,80.50,19.10,0.80,1.10
24/2/18-0:20:9,853,327,426,82.30,19.20,0.80,2.10
24/2/18-0:21:10,853,352,447,84.20,19.10,0.60,0.70
24/2/18-0:22:11,852,353,440,84.30,19.20,0.60,1.40
24/2/18-0:23:12,852,354,437,85.70,19.20,0.50,0.60
24/2/18-0:24:13,852,351,434,84.00,19.20,0.60,0.90
24/2/18-0:25:14,852,329,428,83.30,19.10,0.60,0.60
24/2/18-0:26:15,852,319,430,84.10,19.10,0.70,0.70
24/2/18-0:27:16,853,315,433,83.50,19.10,0.60,1.70
24/2/18-0:28:17,853,327,435,83.60,19.00,0.60,1.20
24/2/18-0:29:18,853,302,420,81.30,19.00,0.80,0.90
24/2/18-0:30:19,853,288,422,84.50,18.90,0.60,0.80
24/2/18-0:31:20,853,296,434,83.50,18.90,0.80,1.70
24/2/18-0:32:21,853,317,451,83.70,18.90,0.70,1.80
24/2/18-0:33:22,853,320,433,79.70,18.90,0.60,0.60
24/2/18-0:34:23,851,311,431,83.10,18.90,0.50,0.80
24/2/18-0:35:24,851,313,430,84.10,18.90,0.60,1.00
24/2/18-0:36:24,851,319,446,80.30,18.90,0.90,1.40
24/2/18-0:37:25,852,309,420,83.50,18.90,0.60,1.30
24/2/18-0:38:26,853,306,422,82.30,18.90,0.40,0.50
24/2/18-0:39:27,853,307,427,82.00,18.80,0.70,0.70
24/2/18-0:40:28,853,311,428,81.60,18.90,0.60,0.60
24/2/18-0:41:29,853,326,443,81.30,18.80,0.70,1.70
24/2/18-0:42:30,853,336,430,83.80,18.90,0.40,0.90
24/2/18-0:43:31,853,337,424,79.70,18.90,0.70,1.10
24/2/18-0:44:32,853,320,420,79.80,18.90,0.70,1.20
24/2/18-0:45:33,853,334,437,78.00,18.90,0.80,1.70
24/2/18-0:46:34,854,315,416,78.20,18.90,0.60,0.80
24/2/18-0:47:35,853,293,420,77.20,18.80,0.60,0.60
24/2/18-0:48:36,853,273,415,77.20,18.80,0.50,0.50
24/2/18-0:49:37,855,271,418,80.80,18.80,0.40,0.90
24/2/18-0:50:38,853,273,425,78.70,18.70,0.60,1.50
