Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
26/2/18-0:0:0,846,317,441,68.30,22.40,3.20,6.80
26/2/18-0:1:1,845,323,450,69.30,22.40,4.00,9.90
26/2/18-0:2:2,846,316,437,69.00,22.40,4.00,9.50
26/2/18-0:3:3,845,308,441,69.60,22.30,3.50,6.20
26/2/18-0:4:4,846,401,527,69.00,22.40,3.40,8.60
26/2/18-0:5:5,845,352,445,66.30,22.30,3.80,10.20
26/2/18-0:6:6,846,296,442,65.60,22.30,4.10,11.00
26/2/18-0:7:7,846,289,439,68.50,22.30,3.60,9.90
26/2/18-0:8:8,845,343,459,66.20,22.30,3.10,6.10
26/2/18-0:9:9,845,334,444,66.20,22.30,3.40,8.30
26/2/18-0:10:10,845,316,447,65.50,22.30,3.60,6.90
26/2/18-0:11:11,846,295,435,67.20,22.30,3.40,5.60
26/2/18-0:12:12,845,310,440,68.30,22.20,3.70,8.40
26/2/18-0:13:13,846,339,461,67.40,22.20,3.60,8.70
26/2/18-0:14:14,845,346,463,68.90,22.20,3.50,9.10
26/2/18-0:15:15,846,338,450,64.10,22.20,3.80,8.80
26/2/18-0:16:16,845,360,470,63.00,22.20,3.10,8.10
26/2/18-0:17:17,846,387,464,62.60,22.20,3.40,6.00
26/2/18-0:18:18,846,342,443,62.10,22.20,3.40,7.30
26/2/18-0:19:19,847,340,461,62.80,22.20,3.50,5.60
26/2/18-0:20:20,845,327,439,62.70,22.20,3.50,7.80
26/2/18-0:21:21,845,333,447,64.00,22.10,3.70,9.10
26/2/18-0:22:22,845,328,443,64.60,22.10,3.80,7.40
26/2/18-0:23:23,845,325,443,64.40,22.10,3.40,7.90
26/2/18-0:24:24,846,334,471,63.30,22.10,3.20,8.80
26/2/18-0:25:25,846,338,441,63.20,22.10,3.90,7.80
26/2/18-0:26:26,845,345,454,64.00,22.10,3.60,8.90
26/2/18-0:27:27,846,374,462,63.40,22.10,3.40,8.20
26/2/18-0:28:28,845,362,447,61.30,22.10,3.50,10.30
26/2/18-0:29:29,846,371,457,62.40,22.10,3.20,7.50
26/2/18-0:30:30,846,352,444,62.10,22.00,3.30,8.60
26/2/18-0:31:31,845,328,440,62.00,22.10,3.30,8.00
26/2/18-0:32:32,845,344,455,62.10,22.00,3.00,6.10
26/2/18-0:33:33,846,413,508,62.30,22.00,3.10,7.80
26/2/18-0:34:34,845,375,453,61.60,22.00,3.10,6.20
26/2/18-0:35:35,845,342,441,63.10,22.10,3.10,6.00
26/2/18-0:36:36,846,319,441,62.70,22.00,2.60,4.60
26/2/18-0:37:37,846,347,469,64.30,21.90,3.00,5.70
26/2/18-0:38:38,846,376,455,63.30,22.00,3.00,7.50
26/2/18-0:39:39,845,382,469,62.40,22.00,2.90,10.20
26/2/18-0:40:40,846,394,519,63.60,21.90,2.60,5.10
26/2/18-0:41:41,845,367,445,62.50,21.90,2.90,8.30
26/2/18-0:42:42,845,331,438,63.40,21.90,2.70,7.60
26/2/18-0:43:43,846,302,432,64.70,21.90,2.80,8.10
26/2/18-0:44:44,846,273,434,66.20,21.80,2.20,5.00
26/2/18-0:45:45,846,271,431,62.50,21.80,2.40,3.50
26/2/18-0:46:46,846,289,444,65.20,21.80,2.70,7.00
26/2/18-0:47:46,846,302,452,65.90,21.80,2.30,6.80
26/2/18-0:48:47,845,320,459,64.30,21.80,2.80,5.80
