Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
23/2/18-0:0:43,845,376,499,41.90,27.10,1.90,5.00
23/2/18-0:1:44,846,363,490,43.40,27.10,2.10,5.50
23/2/18-0:2:45,845,323,481,44.00,27.10,1.80,6.30
23/2/18-0:3:46,845,359,518,41.90,27.10,1.90,4.80
23/2/18-0:4:47,845,412,528,43.50,27.10,1.80,7.20
23/2/18-0:5:48,845,357,488,44.50,27.10,2.30,11.70
23/2/18-0:6:49,846,333,485,42.90,27.10,1.80,5.80
23/2/18-0:7:50,845,426,546,45.70,27.10,1.80,5.50
23/2/18-0:8:51,846,372,482,44.90,27.10,2.20,8.90
23/2/18-0:9:52,845,366,491,43.80,27.10,2.20,4.30
23/2/18-0:10:53,846,442,559,43.80,27.10,2.10,4.30
23/2/18-0:11:54,846,425,512,43.40,27.10,2.30,8.60
23/2/18-0:12:54,845,409,496,45.10,27.20,1.50,3.60
23/2/18-0:13:55,846,386,510,44.00,27.20,2.30,8.40
23/2/18-0:14:56,845,407,498,43.20,27.20,2.20,4.70
23/2/18-0:15:57,845,407,507,43.50,27.20,2.20,6.10
23/2/18-0:16:58,846,458,546,45.40,27.20,2.20,6.10
23/2/18-0:17:59,847,456,526,45.60,27.10,2.00,7.70
23/2/18-0:19:0,846,478,578,44.50,27.10,2.00,6.20
23/2/18-0:20:1,846,462,539,44.40,27.20,1.90,6.40
23/2/18-0:21:2,845,428,519,45.40,27.20,2.10,6.50
23/2/18-0:22:3,846,412,505,44.70,27.10,2.30,6.10
23/2/18-0:23:4,846,435,531,45.10,27.10,1.70,5.00
23/2/18-0:24:5,846,448,539,44.60,27.10,2.10,9.10
23/2/18-0:25:6,845,425,505,46.10,27.10,1.70,5.50
23/2/18-0:26:7,846,417,513,48.00,27.10,1.80,4.80
23/2/18-0:27:8,846,410,491,46.50,27.10,1.80,6.60
23/2/18-0:28:9,846,423,496,46.80,27.00,2.50,7.20
23/2/18-0:29:10,846,397,492,45.30,27.00,1.90,7.70
23/2/18-0:30:11,846,394,489,45.40,27.00,2.00,10.30
23/2/18-0:31:12,846,378,485,45.10,26.90,2.20,5.90
23/2/18-0:32:13,846,378,490,46.70,26.90,2.30,11.10
23/2/18-0:33:14,846,372,484,47.10,26.90,2.20,6.90
23/2/18-0:34:15,846,372,481,46.20,26.90,1.90,8.00
23/2/18-0:35:16,845,387,486,46.60,26.80,2.40,6.40
23/2/18-0:36:17,846,380,475,48.40,26.80,2.00,6.80
23/2/18-0:37:18,845,371,475,45.50,26.80,2.10,7.10
23/2/18-0:38:19,846,403,511,47.90,26.70,2.40,7.20
23/2/18-0:39:20,846,412,486,46.80,26.70,2.20,5.80
23/2/18-0:40:21,845,382,475,48.80,26.70,1.90,3.30
23/2/18-0:41:22,845,394,494,46.60,26.60,2.00,5.20
