Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
7/3/18-0:0:48,838,318,396,52.50,22.50,4.30,9.40
7/3/18-0:1:49,839,316,395,49.70,22.50,3.40,10.80
7/3/18-0:2:50,838,307,393,49.70,22.50,3.20,6.20
7/3/18-0:3:51,838,319,409,49.30,22.50,3.60,10.60
7/3/18-0:4:52,838,310,387,49.70,22.50,3.60,10.20
7/3/18-0:5:53,841,307,391,49.30,22.50,3.50,8.20
7/3/18-0:6:54,838,313,395,50.30,22.50,4.00,13.00
7/3/18-0:7:55,837,314,394,49.90,22.50,3.90,9.00
7/3/18-0:8:56,837,313,391,50.20,22.50,4.00,8.70
7/3/18-0:9:57,837,320,401,47.90,22.40,3.90,9.10
7/3/18-0:10:58,839,320,396,48.10,22.40,4.90,13.50
7/3/18-0:11:59,839,318,396,50.00,22.40,3.80,8.60
7/3/18-0:13:0,839,311,388,49.40,22.40,4.70,10.40
7/3/18-0:14:1,837,318,400,50.30,22.40,4.20,8.50
7/3/18-0:15:2,836,315,396,49.70,22.40,5.20,12.90
7/3/18-0:16:3,837,310,399,47.80,22.40,5.30,12.10
7/3/18-0:17:4,839,311,406,47.60,22.30,5.10,13.40
7/3/18-0:18:5,837,312,405,49.00,22.30,4.90,9.80
7/3/18-0:19:6,837,297,389,49.30,22.20,5.10,15.80
7/3/18-0:20:7,839,296,387,47.90,22.20,4.30,12.80
7/3/18-0:21:8,839,288,385,49.40,22.20,3.70,11.80
7/3/18-0:22:9,838,276,386,46.20,22.10,3.40,9.40
7/3/18-0:23:10,839,272,388,48.30,22.00,3.90,13.40
7/3/18-0:24:11,839,250,374,46.50,22.00,3.50,10.60
7/3/18-0:25:11,835,245,379,46.20,22.00,3.30,12.20
7/3/18-0:26:12,838,249,379,46.00,21.90,3.50,11.60
7/3/18-0:27:13,837,241,366,46.60,21.90,2.70,9.90
7/3/18-0:28:14,836,243,375,47.90,21.90,3.30,9.60
7/3/18-0:29:15,838,243,370,46.60,21.90,3.20,8.40
7/3/18-0:30:16,836,246,369,48.00,21.90,3.20,11.00
7/3/18-0:31:17,838,255,373,46.70,21.90,2.70,7.00
7/3/18-0:32:18,835,251,371,45.90,21.90,2.70,7.70
7/3/18-0:33:19,836,234,362,46.40,21.90,3.30,8.00
7/3/18-0:34:20,836,248,387,47.10,21.80,2.50,8.60
