Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
28/2/18-0:0:16,853,248,404,79.00,18.80,1.00,2.40
28/2/18-0:1:17,854,238,400,78.50,18.80,0.90,1.50
28/2/18-0:2:18,854,227,397,77.90,18.80,0.80,2.00
28/2/18-0:3:19,854,228,402,77.80,18.80,0.80,1.30
28/2/18-0:4:20,855,238,401,77.10,18.80,0.60,0.60
28/2/18-0:5:21,854,218,397,76.50,18.90,0.80,2.40
28/2/18-0:6:22,854,227,400,76.80,18.90,0.70,0.80
28/2/18-0:7:23,854,231,399,77.10,18.90,0.80,0.80
28/2/18-0:8:24,854,232,396,77.60,18.90,1.00,1.60
28/2/18-0:9:25,854,232,402,75.80,18.90,1.00,1.10
28/2/18-0:10:26,854,239,405,77.40,18.90,0.70,1.90
28/2/18-0:11:27,854,239,408,78.10,18.80,0.70,0.70
28/2/18-0:12:28,854,241,403,77.10,18.90,0.70,0.90
28/2/18-0:13:29,854,250,404,77.90,18.90,0.70,0.80
28/2/18-0:14:30,854,251,404,77.70,18.80,0.80,1.70
28/2/18-0:15:31,854,273,418,77.80,18.80,1.10,2.40
28/2/18-0:16:32,854,279,409,78.10,18.80,1.00,1.50
28/2/18-0:17:33,854,275,406,78.00,18.80,1.10,1.90
28/2/18-0:18:34,855,282,407,79.20,18.80,1.00,1.20
28/2/18-0:19:35,854,271,406,77.80,18.90,0.90,1.00
28/2/18-0:20:36,847,245,434,78.90,18.90,0.80,0.90
28/2/18-0:21:37,854,264,404,76.70,18.80,0.90,1.90
28/2/18-0:22:38,854,253,410,76.40,18.90,0.80,0.80
28/2/18-0:23:39,854,263,419,75.80,18.80,0.70,1.60
28/2/18-0:24:40,854,267,412,76.10,18.90,1.00,4.30
28/2/18-0:25:41,854,277,410,76.70,18.90,0.80,0.80
28/2/18-0:26:42,854,270,407,76.80,18.90,0.90,1.30
28/2/18-0:27:43,855,292,421,77.10,18.90,0.70,0.70
28/2/18-0:28:44,854,317,433,77.30,18.90,0.80,0.80
28/2/18-0:29:45,854,313,422,75.30,18.90,0.80,2.00
28/2/18-0:30:46,854,303,414,75.00,18.90,0.70,2.00
28/2/18-0:31:47,854,304,413,75.20,19.00,0.70,0.80
28/2/18-0:32:47,854,300,415,76.20,18.90,0.90,3.70
28/2/18-0:33:48,854,308,418,76.60,18.90,0.80,1.90
28/2/18-0:34:49,854,300,410,77.10,19.00,0.80,1.80
28/2/18-0:35:50,854,306,412,76.90,18.90,0.90,2.00
28/2/18-0:36:51,853,308,421,77.70,18.90,0.80,0.80
28/2/18-0:37:52,854,316,417,77.20,18.90,1.10,2.30
28/2/18-0:38:53,855,302,409,76.80,18.90,0.90,1.60
